fm_id,type,Title,alternative_title,language,y1,y2,d1,d2,m1,m2,format,place_id_fk1,place_id_fk2,link,ext_notes,import
1577,printed,Naturalium quaestionum libri omnes,0,Latin,1532,1532,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_45723,0,Imported from 20231128_ml_ingest_odis_ml_pb.json
1578,printed,"Auctarium in secundum topicorum Aristotelis, compectens absolutum inventionis dialecticae methodum",0,Latin,1537,1537,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_45727,0,Imported from 20231128_ml_ingest_odis_ml_pb.json
1579,printed,In hoc volumine continentur Porphyrii Phoenicis Isagoge [...] introductio in dialecticen [...] In usum & utilitatem Paedagogiorum in inclyta Universitate Lovaniensi liberales artes profitentium ...,0,Latin,1532,1532,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_45735,<p>philosophy =&gt; logic</p><p>textbook contains different books from Aristotle and an isagoge of Porphyrius</p><p>=&gt; Liber praedicabilium of Porphyrius</p><p>=&gt; Liber praedicamentorum of Aristotle</p><p>=&gt; Liber peri hermenias dividitur in duos libros partiales</p><p>=&gt; Liber topicoum Aristotelis in octo libros partiales dividitur</p><p>=&gt; Liber priorum analyticorum in duos dividitur</p><p>=&gt;&nbsp;Liber posteriorum Aristotelis =&gt; 2 books</p><p>=&gt; Liber elenchorum dividitur in duos libros partiales</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1580,printed,"Commentaria in isagogen Porphyrii, et in omnes libros de dialectica Aristotelis",0,Latin,1535,1535,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_45736,<p>philosophy =&gt; logic</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1581,printed,"Insunt in hoc codice naturalium quaestionum libri omnes, quibus clarissima liberalium artium facultas inclytae academiae Lovaniensis suos tirones ad rerum naturae cognitionem instituit",0,Latin,1547,1547,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_45737,0,Imported from 20231128_ml_ingest_odis_ml_pb.json
1582,printed,Ethicorum sive moralium Nicomachorum libri decem,0,Latin,1548,1548,0,0,0,0,8o,2,0,http://www.odis.be/lnk/en/PB_45740,<p>ethics</p><p>moral philosophy</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1583,printed,Ethicorum sive moralium Nicomachorum libri decem,0,Latin,1549,1549,0,0,0,0,8o,2,0,http://www.odis.be/lnk/en/PB_45741,<p>ethics</p><p>moral philosophy</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1584,printed,Naturalium quaestionum libri omnes,0,Latin,1555,1555,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_45742,"<p>natural philosophy</p><p>textbook contains various books of Aristoteles which follow a typical course on natural philosophy (p2-307)</p><p>=&gt; 8 books of the&nbsp;<em>Physica =&gt;&nbsp;</em>translation of Johannes Argyropoulos</p><p>=&gt; 4 books of&nbsp;<em>De</em>&nbsp;<em>Coelo =&gt;&nbsp;</em>translation of Johannes Argyropoulos</p><p>=&gt; 2 books of&nbsp;<em>De generatione &amp; corruptione =&gt;&nbsp;</em>translation of François Vatable</p><p>=&gt;&nbsp;4 books of&nbsp;<em>De Meteoris =&gt;&nbsp;</em>translation of François Vatable</p><p>=&gt;&nbsp;3 books of&nbsp;<em>De Anima =&gt;&nbsp;</em>translation of Johannes Argyropoulos</p><p>textbook contains also other works of Aristoteles</p><p>=&gt; book of&nbsp;<em>De sensu &amp; sensibilis =&gt;&nbsp;</em>translation of François Vatable</p><p><em>=&gt;&nbsp;</em>book of&nbsp;<em>De memoria &amp; reminiscentia =&gt;&nbsp;</em>translation of François Vatable</p><p><em>=&gt;&nbsp;</em>book of&nbsp;<em>De somno &amp; vigilia =&gt;&nbsp;</em>translation of François Vatable</p><p><em>=&gt;&nbsp;</em>book of&nbsp;<em>De insomniis =&gt;&nbsp;</em>translation of François Vatable</p><p><em>=&gt;&nbsp;</em>book of&nbsp;<em>De divinatione per somnium =&gt;&nbsp;</em>translation of François Vatable</p><p><em>=&gt;&nbsp;</em>book of&nbsp;<em>De longitudine &amp; bevitate vitae</em>&nbsp;=&gt; translating of François Vatable</p><p><em>=&gt;&nbsp;</em>book of&nbsp;<em>De iuventute et senectute, et vita, et morte &amp; et spiratione =&gt;&nbsp;</em>translation of François Vatable</p>",Imported from 20231128_ml_ingest_odis_ml_pb.json
1585,printed,Ethicorum sive moralium Nicomachorum libri decem,0,Latin,1560,1560,0,0,0,0,8o,2,0,http://www.odis.be/lnk/en/PB_45745,<p>ethics</p><p>moral philosophy</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1586,printed,"Commentaria in Isagogen Porphyrii, et in omnes libros Aristotelis de dialectica [...] facultatis artium in inclyta Academia Lovaniensi per dialecticæ [...] emendata, & multis in locis prudeter abbreviata",0,Latin,1553,1553,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_45751,0,Imported from 20231128_ml_ingest_odis_ml_pb.json
1587,printed,"In Aristotelis Stagiritae, philosophorum omnium principis, de rebus naturalibus libros brevis ac dilucidus commentarius",0,Latin,1567,1567,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_45757,<p>natural philosophy</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1588,printed,In Aristotelis de rebus naturalibus libros brevis commentarius,0,Latin,1577,1577,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_45758,<p>natural philosophy</p><p>contains a commentary on the following books of Aristotle:</p><p>=&gt; the 8 books of the Physica:&nbsp;<em>De auscultatione physica =&gt;&nbsp;</em>from p5-110</p><p>=&gt; on 2 books of&nbsp;<em>De generatione &amp; corruptione</em>&nbsp;=&gt; from p111-133</p><p>=&gt; on 3 books of&nbsp;<em>De Anima&nbsp;</em>=&gt; from p134-184</p><p><em>=&gt;&nbsp;</em>on&nbsp;4 books of&nbsp;<em>De Caelo</em>&nbsp;=&gt; p185-226</p><p>=&gt; on 4 books of&nbsp;<em>De Meteoris</em>&nbsp;=&gt; p227-271</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1589,printed,In Aristotelis de rebus naturalibus libros brevis ac dilucidus commentarius,0,Latin,1579,1579,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_45759,"<p>natural philosophy</p><p>contains a commentary on the following books of Aristotle:</p><p>=&gt; the 8 books of the Physica:&nbsp;<em>De auscultatione physica =&gt;&nbsp;</em>from p5-110</p><p>=&gt; on 2 books of&nbsp;<em>De generatione &amp; corruptione</em> =&gt; from p111-133</p><p>=&gt; on 3 books of&nbsp;<em>De Anima&nbsp;</em>=&gt; from p134-184</p><p><em>=&gt; </em>on&nbsp;4 books of&nbsp;<em>De Caelo</em> =&gt; p185-226</p><p>=&gt; on 4 books of&nbsp;<em>De Meteoris</em> =&gt; p227-271</p><p><br data-mce-bogus=""1""></p>",Imported from 20231128_ml_ingest_odis_ml_pb.json
1590,printed,"In Aristotelis Stagiritae, de rebus naturalibus libros brevis ac dilucidus commentarius",0,Latin,1581,1581,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_45760,<p>natural philosophy</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1591,printed,Compendium et synopsis in decem libros ethicorum,0,Latin,1567,1567,0,0,0,0,8o,2,0,http://www.odis.be/lnk/en/PB_45761,0,Imported from 20231128_ml_ingest_odis_ml_pb.json
1592,printed,Compendiaria disserendi ratio ad praescriptum Atistotelis: continens generalia logices praecepta omnia ex toto Aristotelis organo. Commonstratus est etiam diligenter praeceptorum usus,0,Latin,1553,1553,0,0,0,0,8o,2,0,http://www.odis.be/lnk/en/PB_45762,0,Imported from 20231128_ml_ingest_odis_ml_pb.json
1593,printed,"Dialectica seu, generalia logices praecepta omnia",0,Latin,1562,1562,0,0,0,0,8o,2,0,http://www.odis.be/lnk/en/PB_45763,0,Imported from 20231128_ml_ingest_odis_ml_pb.json
1594,printed,"Dialectica seu, generalia logices praecepta omnia","quaecunque praecipue ex toto Aristotelis organo, ad ediscendum proponi consueverunt",Latin,1566,1566,0,0,0,0,8o,2,0,http://www.odis.be/lnk/en/PB_45764,0,Imported from 20231128_ml_ingest_odis_ml_pb.json
1595,printed,Isagoge Porphyrii Phenicis in categorias Aristotelis Organon,0,Latin,1525,1525,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_45765,<p>philosophy =&gt; logic</p><p>textbook contains different books from Aristotle and an isagoge of Porphyrius</p><p>=&gt; Liber praedicabilium of Porphyrius</p><p>=&gt; Liber praedicamentorum of Aristotle</p><p>=&gt; Liber peri hermenias dividitur in duos libros partiales</p><p>=&gt; Liber topicoum Aristotelis in octo libros partiales dividitur</p><p>=&gt; Liber priorum analyticorum in duos dividitur</p><p>=&gt;&nbsp;Liber posteriorum Aristotelis =&gt; 2 books</p><p>=&gt; Liber elenchorum dividitur in duos libros partiales</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1596,printed,Organon (Logica vetus),0,Latin,1474,1475,0,0,0,0,4o,2,0,http://www.odis.be/lnk/en/PB_45772,<p>philosophy =&gt; logic</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1597,printed,De generatione et corruptione,0,Latin,1475,1475,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_45773,<p>natural philosophy</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1598,printed,Analytica priora,0,Latin,1475,1475,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_45775,<p>philosophy =&gt; logic</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1599,printed,Physica,0,Latin,1475,1475,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_45776,<p>natural philosophy</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1600,printed,Analytica posteriora,0,Latin,1476,1476,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_45777,<p>philosophy =&gt; logic</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
